participant_id,group,timestamp,event_type,session_id,course_id,step_number,success,duration_seconds,hint_level
P001,B,2026-01-19T09:02:46.169Z,session_start,session-1768813366169-k6t6lbseb,,0,0,0,0
P001,B,2026-01-19T09:02:46.647Z,onboarding_start,session-1768813366169-k6t6lbseb,,0,0,0,0
P001,B,2026-01-19T09:06:16.675Z,onboarding_complete,session-1768813366169-k6t6lbseb,,0,0,210,0
P001,B,2026-01-19T09:08:13.751Z,session_start,session-1768813693751-fglusnhep,,0,0,0,0
P001,B,2026-01-19T09:08:13.752Z,session_start,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:08:14.871Z,course_access,session-1768813693751-fglusnhep,bmi-calculator,0,0,0,0
P001,B,2026-01-19T09:08:14.874Z,step_start,session-1768813693752-pk8aj6fu7,bmi-calculator,1,0,0,0
P001,B,2026-01-19T09:08:14.923Z,learning_profile_initialized,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:08:15.032Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,1,0,0,0
P001,B,2026-01-19T09:08:15.149Z,topic_introduced,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:08:15.290Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,1,0,0,0
P001,B,2026-01-19T09:08:42.144Z,code_execution,session-1768813693752-pk8aj6fu7,bmi-calculator,1,1,0,0
P001,B,2026-01-19T09:08:42.375Z,performance_score_update,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:08:42.585Z,topic_weight_change,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:08:42.730Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,1,0,0,0
P001,B,2026-01-19T09:08:46.804Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,1,0,0,0
P001,B,2026-01-19T09:08:46.856Z,step_complete,session-1768813693752-pk8aj6fu7,bmi-calculator,1,0,33,0
P001,B,2026-01-19T09:08:54.513Z,ai_drill_selection,session-1768813693752-pk8aj6fu7,bmi-calculator,0,0,0,0
P001,B,2026-01-19T09:08:59.301Z,drill_attempt,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:08:59.302Z,drill_mcq_completed,session-1768813693752-pk8aj6fu7,bmi-calculator,0,1,0,0
P001,B,2026-01-19T09:09:11.473Z,drill_code_completed,session-1768813693752-pk8aj6fu7,bmi-calculator,0,1,0,0
P001,B,2026-01-19T09:09:11.473Z,drill_attempt,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:09:12.792Z,performance_score_update,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:09:12.947Z,topic_weight_change,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:09:12.994Z,drill_session_completed,session-1768813693752-pk8aj6fu7,bmi-calculator,0,0,0,0
P001,B,2026-01-19T09:09:14.669Z,step_start,session-1768813693752-pk8aj6fu7,bmi-calculator,2,0,0,0
P001,B,2026-01-19T09:09:14.669Z,course_access,session-1768813693752-pk8aj6fu7,bmi-calculator,0,0,0,0
P001,B,2026-01-19T09:09:14.701Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,2,0,0,0
P001,B,2026-01-19T09:09:14.796Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,2,0,0,0
P001,B,2026-01-19T09:09:36.287Z,code_execution,session-1768813693752-pk8aj6fu7,bmi-calculator,2,1,0,0
P001,B,2026-01-19T09:09:36.518Z,performance_score_update,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:09:36.700Z,topic_weight_change,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:09:36.828Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,2,0,0,0
P001,B,2026-01-19T09:09:40.628Z,step_snapshot,session-1768813693752-pk8aj6fu7,bmi-calculator,2,0,0,0
P001,B,2026-01-19T09:09:40.671Z,step_complete,session-1768813693752-pk8aj6fu7,bmi-calculator,2,0,27,0
P001,B,2026-01-19T09:09:47.456Z,ai_drill_selection,session-1768813693752-pk8aj6fu7,bmi-calculator,0,0,0,0
P001,B,2026-01-19T09:10:05.689Z,drill_attempt,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:10:05.690Z,drill_mcq_completed,session-1768813693752-pk8aj6fu7,bmi-calculator,0,1,0,0
P001,B,2026-01-19T09:10:25.355Z,drill_attempt,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:10:25.355Z,drill_code_completed,session-1768813693752-pk8aj6fu7,bmi-calculator,0,1,0,0
P001,B,2026-01-19T09:10:26.591Z,performance_score_update,session-1768813693752-pk8aj6fu7,,0,0,0,0
P001,B,2026-01-19T09:10:26.788Z,topic_weight_change,session-1768813693752-pk8aj6fu7,,0,0,0,0
